1,标题,日期,正文
2,“出发”,2023年12月16日,3X时光成长计划打卡第一天： 12.14到武汉参加“荆楚名家”培训，飞机上看到关于“出发”的一篇文章。出发意味着一次有目的、有方向的位移。当我们赞美“出发”时，我们是在赞美什么呢？除了怀念过去、憧憬未来，让过去的过去成为过去，让开始的开始成为开始。更多时候我们在礼赞选择的智慧与排除干扰的能力，礼赞我们有抬头看路的勇气，而不仅仅有低头做事的力气…… 书中60岁的作者可以钻进画室，忘了吃饭，忘了喝水，腰酸背痛难免，但对每一幅作品都充满期待、兴奋。教育部领航名校长张德兰，不正是文中痴迷于热爱的作者吗？听到张校长的授课，感受张校长的精气神，我敬佩不已，原来我的热爱还远远不够。 此次高端培训让我把关注多年的“夏天的风”再次深刻认识。早就感觉“夏风教室”不一般。经常把“夏风教室”的推文分享朋友圈，推给老师们。但此次身临其境地感受：更加确定了“可望不可及”，该是要多少的知识储备、情怀储备、经历储备……才能达到如此境界。 关于出发，其实很多人，在很多时候都很想作出“出发”的决定。可是一想到未来的“不确定性”，就本能地呆在舒适区，他们习惯了给自己“设限”，认为年龄大了，精力不够……总有理由。他们哪里知道：生活在自己的热爱里，是年龄保值和焕发二次青春活力的催化剂。所谓老天偏爱某人。就赐予她“热爱”吧，让她舒展本性，真性情地做自己喜欢的事。 在万米高空，在密闭机舱，远离地面，远离日常，我在思考：我是为什么而出发？在教育大咖分享教育智慧的学习营，在3分钟PSS介绍学校，在“薪火论坛”8分钟点评学员问题时，我在思考:在以后的日子里，我可以从哪里以怎样的方式出发？ 曾经六年如一日约30万字“早安声”成为过去，新形势新背景要求下的“3X时光成长计划”载着我再次“出发”。一所学校就是一个励志的故事，希望在又一个三年的“3X时光成长计划”里，我们被更多教育人的故事感动，也希望我们的故事能感动更多的教育人。出发！
3,“慎始如终”,2023年12月18日,民大附小教联体附小早安声（杨华丽） 当寒潮来临，我愈发怀恋前一段阳光甚好之时。那时，阳光洒满了附小的每一个角落，操场上跳跃、奔跑的身影，阅读长廊沉浸书香的身影，漫步于紫藤廊间的身影......回望那些美好的片段，皆是校园里的浪漫，是生活中的温暖。 虽然寒潮来了，阳光暂时缺席了，但我们可以用温暖的态度对待生活，用“慎始如终”的精神来创造一份冬日浪漫。让我们继续点燃心中于生活、于教育理想，那么每一天，就都是阳光甚好之时。 慎始如终，是一种态度，更是一种智慧。“物有本末，事有终始。”我们常常会遇到各种困难和挑战，而如何应对这些挑战，如何坚持自己的初心，这就需要我们慎始如终的态度。回看学校文化发展、课程构建、师生素养提升，哪一样不是从零到一，再从“一”到“万种样态”，然后逐渐成熟、壮大。凭着附小人的热情与真心，我们让冬日的附小时刻都弥漫着暖阳般的光与热。 临近期末，我们更需要用“慎始如终”的态度对待各项工作。部门述职筹划、班主任辅导员总结工作、个人教学工作......那就继续用好学期初的那份意气风发，那份执着，那份坚持，让我们的“十佳歌手比赛、无纸化测评活动、少代会、大队委竞选、庆元旦......”精彩呈现，为本学期各项工作画上圆满的句号吧！ 古人云：“有善始者实繁，能克终者盖寡。”能做到慎始如终并不容易，但附小人身上有这股子韧性生长的劲儿。我们笃信，每一份挑战都是一种历练，都会在坚守与传承中化作发展的不竭动力；我们也会以最好的姿态，把握住教育路上的每一寸力所能及，积淀更多的教育浪漫！寒冬来临，请老师们爱护好自己的身体。早安，附小！
4,“此心光明 亦复何言”,2023年12月18日,今天的行政会，和老师们聊了聊“宇辉”。有时候，我们的会议不谈工作，谈思想，谈热点话题…… 从这个称呼来看，我对宇辉还是有一定好感的。毕竟每次读到他的文章与视频，我还是会停留多看几眼。昨天有朋友问我怎么看他和他的小作文。我说，不怎么看啊，很正常啊。就好比我的早安声，之后的晚间3X时光打卡，你喜欢多看几眼，不喜欢就屏蔽啊，很简单啊！全国丈母娘都喜欢的宇辉，他的人设主要集中在才华、朴实、草根…… 记得上次聊社会热点还是“淄博出圈”，每遇到能契合学校发展的社会热点话题，我都会和老师们剖析，从中汲取到附小奋进的力量。东方甄选团队“小作文”前因后果，想必大家都很清楚。在我看来，这是一个“发光者”与“幕后者”的故事；是一个“穷日子大家能扛，好日子大家如何过”的故事。 相比东方甄选，我对比了附小的精品课，以及其他“骄人”成绩。附小最优秀的品质是“团磨”。六年的拼搏与付出，让这所学校和这所学校里的部分“发光者”火到极致。那么，问题来了。是否也会有“幕后者”心存不甘……为防微杜渐，我们每一个与会者，现在看到文字的每一位同志，都可以扪心自问，在我们不为人知的世界里，是否我们也像“东方小编”般不甘过。当一个学校发展得比较好时，自然有一批“发光者”走在前面。但他们的成功，是所有人的托举，这些道理其实每一个人都是明白的，无需像“小编”般太认真地计较与澄清——谁的光里其实有我。 作为“发光者”，要修炼一门课程——正确认识自己、不忘初心、永葆感恩；作为“幕后者”，也要修炼一门课程——甘心幕后，不求回报，只求“福报”。事实上，“发光者”与“幕后者”不断地交织，是一个单位最好的生长样态。 任何一个单位内部的“互撕”，都是“几败俱伤”，都不会有好结果。所披露的都是最高领导者的“举旗定向”不够，平时的敏锐观察力不够，对个人与单位的发展走向与风险研判不够，对员工的政治站位引领不够…… 今儿，各大平台晒出“宇辉升职”，我不评判。但我有个预测，如果还不停止，继续像这样一系列的操作下去，宇辉终究会离去，因为累……我们终其一生需要的是“灵魂的自由”。世界不需要那么多的解释，那么多的“冠冕堂皇”，此心光明，亦复何言。我始终认为，一个高尚的人，是用人格在工作与生活。这样才活得坦荡与舒心。无需解释，沉默与行动是最好的回答。愿诸君皆好……（如果有时候，大家没有听到我的解释，那一定是因为我在用行动回答）
5,“早安”,2023年12月19日,民大附小教联体附小早安声（文静） 昨天的早安声中，杨华丽主任希望我们用“慎始如终”的精神来创造一份冬日浪漫，今天的早安声，我想用“心中有阳光”，来践行人生中的希望和美好。 心中有阳光，能够使我们更加积极应对人生的起伏。阳光的心态让我们看到生活中的美好瞬间：年级组老师温馨的办公室生日会，赛事归来时办公桌上暖暖的奶茶，外出听课回来后孩子们一日不见如隔三秋的想念……无论是一缕阳光透过窗帘，还是一阵微风拂过脸庞。这样的心态使我们学会在琐碎中找到快乐，在平凡中品味幸福。 心中有阳光，才能让人生更加乐观。乐观是一种积极向上的心态，即便遭遇困境，阳光的心灵也能够激发出我们战胜困难的勇气和毅力。父母身体有恙，孩子不如预期优秀，工作并非一帆风顺……我们也要挺直身躯，笑对人生。 心中有阳光，才能变得更加自信。自信是成功的关键，它源自对自己能力的坚定信仰。大小赛事积极争取，各种机会不轻易放弃，相信自己的价值，从而更加自信地去面对人生的各种挑战。 心中有阳光，才能更加热爱生活的点滴。生活中的每一个瞬间都是独一无二的，而当我们拥有了感恩的心态，我们就能够更加细腻地体会到这些点滴的美好。偶遇书记校长时礼貌风趣的一声问好，同事之间走廊相遇时相互点头微笑，办公室内一句发自肺腑的赞美：你今天真漂亮！换得一天美美的心情，值了！ 心中有阳光，才能更加感恩。这种心态不仅让我们更加珍惜身边的一切，也使我们在人生的征途中更加从容和幸福。用感恩的心灵感受生活的点滴美好，让每一天都充满阳光与温馨！ 有人说：一个人比你优秀，你尽可以放心交往，因为优秀的人散发正能量；一个人比你有德行，你尽量与他成为一个团队，因为厚德可以载物；一个人比你有智慧，你尽可安心与他同行，相信智慧能照亮未来；一个人活的生命比你有质量，你可用心与他成为知己，生命才有高度与宽度。与智者同行，与善者同频。早安，附小！
6,“钉子和木板的故事”,2023年12月20日,民大附小教联体附小早安声（田艳） 昨天的行政例会，书记以“聚焦‘两个务必’ 确保一往无前”为所有行政人员上了一节党课。务必继续保持谦虚、谨慎、不骄、不躁的作风，务必继续保持艰苦奋斗的作风。 她从毛主席提出“两个务必”的时代背景和深刻内涵，讲到民大附小前三年、现三年高品质的工作成绩，以及未来三年发展倡导“两个务必”的现实意义。尤其是现阶段，谦虚谨慎势在必行。最后以“宇辉事例”进行剖析，用“防微杜渐”提示大家对自己的工作保持敬畏之心，才能真正在工作中主动成长，也才能真正成为学校长远发展的软实力。 在附小，“精益求精”已经深入人心，形成了每个人的文化自觉，让它有了生命力和厚重感，逐渐沉淀为学校的文化特质，自然也成为了社会口口相传的“硬道理”，久而久之就成为了学校的办学品质。 经常也有人好奇地问：你们学校要求那么高，你们作为其中的一份子，感觉怎么样？偶然一次我读到了一个“钉子和木板”的故事，很适合解答这个问题。木板问钉子：“你总是处于挨打的境地，有时甚至被铁锤砸得直冒火星，可你仍能坦然面对，这到底是为什么呢？”钉子笑笑说：“木板兄，我之所以能做成点事情，发挥我的作用，全靠铁锤的帮助。如果不是它敲打我，给我压力，那么我就可能虚度一生、毫无用处了。” 其实，仔细想想，我们每个人既是“锤子”，又是“钉子”。面对管理时是钉子，但面对学生时又是锤子，管理者面对老师时是锤子，但面对家长、社会时，又都是钉子。所以，用“两个务必”约束自己，培养自己，让我们做一个敲击方式、角度及力度考究的锤子，也都能做一颗不懈钻研、勇往直前的钉子。早安，附小！
7,“恩施日报专题报道（一）早安唤起精气神”,2023年12月21日,小感慨：我喜欢的几句话，共勉！一是你尽管努力，其他的交给时间。附小不一定是最优秀的，但一定是最努力的；二是你尽管真诚善良美丽向上， 幸运之神总会“不期而遇”。附小总是这样一次又一次幸运；三是此心光明，亦复何言。伴随荣誉的，同样有压力，再一次检验附小的团结力、战斗力、领导力的时刻到了……加油！
8,“七彩德育润童心”,2023年12月22日,民大附小：红橙金绿青蓝紫，是大自然的色彩，也是民大附小德育浸润童心的色彩。六年的探索，我们将七彩德育融入活动，点燃学生追梦激情；我们打造七彩德育全环境育人模式，浸润学生心灵；我们以落实立德树人为根本任务，系统把握，发挥七彩德育潜能，绘就了一幅德育花开百花香的多彩画卷。
9,“你不知道的那些经历”,2023年12月25日,民大附小教联体附小早安声 (袁红柳） 你不知道的那些经历——这是我今天的早安声主题。 近期，在州委宣传部的组织下，在恩施日报社的采编下，关于民大附小的宣传会铺天盖地而来。除了上周的三篇A3全版面思政创新宣传，还会有后续的公众号和视频号宣传。作为附小，一是感恩转发；二是砥砺前行。本周，让我们一起来回顾，这些年，你不知道的那些经历…… 2018年，第一次做班级文化，大家不会办班级文化墙。于是，有了我们“手把手”地办好一个班级的文化墙，大家参观。然后群里发了很多模板，供大家参考。接续一个班接着一个班……越办越好。时至今日，每学期的班级文化节，成了各班炫耀的文化资本。班级文化成了附小文化特色重要版块。 第一次过六一儿童节，大家说不会排练节目。于是我们提前两个月开始，用“笨鸟先飞早入林”的思想反复排练；以“苔花如米小也学牡丹开”的精神自我肯定；以“经典咏流传”的主题进行串联，用“人人登上舞台”的理念进行顶层设计……一个村小的六一，我们迎来了时任市委宣传部郭亚妮同志的莅临，师生们的展示得到了充分肯定。自此，“人人站在舞台中央”成了学校活动的宗旨。在那次舞台上，我们50岁的钟丽老师登上了舞台，50岁的陈燕老师成了最佳编导。45岁的肖华玲老师成了主持人，我们硬逼着年轻老师排练了教师节目……这就是2018年的六一。 2018年，学校没有音体美专职老师。第二学期，我们举全校之力，聘请了代课教师，将音体美全部“专”了起来。因编制不解冻，我们最高峰请了聘用老师30余人。但我们并没有把他们当做代课教师，而是把他们当做“在编教师”一样管理、培养。现在的他们或考上了编制，或进入了事业单位，或进入了私立学校。他们成全了我们，我们成全了他们，学校出名了，成了“教师考编上岗”的培养基地。很多人慕名地将子女、侄男侄女送到桂花园小学“实习深造”。 那年月，我们一个班一个班翻看学生作业，一一记录，一一指导；为了严肃考勤纪律，我们大会通报考勤，就因一位新上岗的聘请老师连续迟到两次，请两次假做别人的伴娘，我们认为那是对教育的不热爱；为了学校的风清气正，我们曾经班子会专题探讨：校园里教师是否应该讲普通话？如果班子不带头，如果觉得不需要讲，我们就废除说普通话。经过探讨，大家一致认为应该讲普通话。于是，有了彻底的反思与行动。我们杜绝了将早餐中餐带出食堂，规范了“不穿棉鞋上班”等等一切不规范的行为……这些看似没有人情味儿的要求，恰好成了老师们“让优秀成为一种习惯”的行为准则。 那些你不知道的经历：你不知道陈芳副校长为了把课后服务桂韵社团办好，她有多少个微信群；你不知道文静副校长和田艳副校长为了把课磨好，她们熬了多少夜；你不知道肖君副校长为了能迅速融入附小，她背地里对每一项工作做了多少功课；你不知道龙煕彦副校长为了学校工作，变动了多少岗位；你不知道杨华丽主任为了做好学校公众号，关注了多少个公众号，修订了多少个案例；你不知道党政办兰晶主任，为了做好办公室工作，挨了多少批评；你不知道尹建恩主席为了做好工作，不断地在调整工作与生活的节奏……你不知道所有获奖老师们付出了多少倍的努力，多少汗水与泪水；你不知道很多年迈的老师为了适应附小的节奏，又付出了多少……你更不知道，瞿德威校长为了守护好附小，所付出的努力与背负的压力！ 所有人共同的理念认同，教育信仰，真诚善良……铸就了现在的民大附小。附小就像有了魂，有了人格与品格，值得我们歌颂她、称赞她。同时，我们也一定会保护好她，守护好她，让她能够在我们的呵护下，继续壮大，砥砺前行。只有我们知道，她的那些经历，足以书写成一本动人的诗篇，载入史册。这本史册在不断地续写新的篇章与辉煌……2023还剩最后一周，让我们续写附小精彩故事，满怀激情迎来值得期待的2024。早安！亲爱的附小！
10,“晚安……”,2023年12月27日,"民大附小教联体附小早安声 (德育中心 卢莉）冬天没有春天那样阳光和煦；夏天那样烈日炎炎；秋天那样萧索静美，冬天却厚重充实。附小的这个冬天更是美丽而温暖的！ 最近的朋友圈被附小的新闻刷屏，期中一篇报道的评论被点赞置顶，“学校得益于一个好的党总支，得益于一个好的领头人，得益于一支特别能奉献的教师团队！值得点赞！值得学习！”这位评论者一定是了解我们学校的，附小正是在这样一位优秀领头人的带领下飞速进步的，她的领导力、学习力、执行力、感染力等等，带动着整个附小团队不断挑战自己，超越自己，让很多不可能成为可能，才有了今天的成绩！ 
今天的成绩确实来之不易，它背后隐藏着无数次的努力与付出。每一分收获都是辛勤耕耘的见证，每一次成功都是智慧与汗水的结晶。在追求梦想的道路上，我们曾遭遇过困难与挫折，但我们从未轻言放弃。正是那些艰难的时刻，锻炼了我们的意志，让我们更加坚定地迈向目标。 而今，当我们站在成功的巅峰，回望那条曲折而漫长的道路，心中充满了感慨与自豪。但请记住，这只是一个新的起点，前方还有更广阔的天地等待我们去探索。 
让我们珍惜今天的成绩，同时保持谦虚与进取的心态。继续努力，不断超越自己，创造更加辉煌的明天！早安，附小！"
