date,average_sentiment_score
2023-12-16,1.0
2023-12-18,1.0
2023-12-19,1.0
2023-12-20,1.0
2023-12-21,0.9999999999930125
2023-12-22,0.9999999999999158
2023-12-25,1.0
2023-12-27,1.0
2023-12-28,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-15,1.0
2024-01-16,1.0
2024-01-18,0.9999999999999944
2024-01-19,1.0
2024-01-22,1.0
2024-02-10,0.999999999858654
2024-02-11,0.9993400217435364
2024-02-13,0.9999999530837638
2024-02-14,0.9999999999003693
2024-02-16,0.9999999999999996
2024-02-17,1.0
2024-02-18,1.0
2024-02-19,0.9999999976605083
2024-02-20,0.9999999999999387
2024-02-24,0.9999999999978231
2024-02-26,1.0
2024-02-27,1.0
2024-02-28,1.0
2024-02-29,1.0
2024-03-01,1.0
2024-03-04,1.0
2024-03-05,0.9999999999999998
2024-03-07,1.0
2024-03-10,0.9999999999999769
2024-03-11,1.0
2024-03-12,1.0
2024-03-14,1.0
2024-03-18,1.0
2024-03-19,1.0
2024-03-20,1.0
2024-03-21,1.0
2024-03-23,0.9999570999086561
2024-03-26,1.0
2024-03-27,1.0
2024-03-28,1.0
2024-03-29,1.0
2024-03-30,1.0
2024-03-31,1.0
2024-04-01,1.0
2024-04-02,1.0
2024-04-03,1.0
2024-04-04,1.0
2024-04-05,1.0
2024-04-06,1.0
2024-04-07,1.0
2024-04-08,1.0
2024-04-09,1.0
2024-04-10,1.0
2024-04-11,1.0
2024-04-12,1.0
2024-04-13,1.0
2024-04-15,1.0
2024-04-16,1.0
2024-04-17,1.0
2024-04-18,1.0
2024-04-19,1.0
2024-04-20,1.0
2024-04-21,1.0
2024-04-23,1.0
2024-04-27,1.0
2024-04-28,1.0
2024-04-29,1.0
2024-05-01,0.9999999011498109
2024-05-02,0.9983436974692981
2024-05-03,1.0
2024-05-04,1.0
2024-05-06,1.0
2024-05-07,1.0
2024-05-08,1.0
2024-05-09,1.0
2024-05-10,0.9999999999961551
2024-05-11,1.0
2024-05-12,1.0
2024-05-13,1.0
2024-05-14,1.0
2024-05-15,6.319438359703167e-05
2024-05-16,1.0
2024-05-17,0.9999992658061737
2024-05-18,0.9998806300405555
2024-05-19,1.0
2024-05-20,0.9999999999996911
2024-05-21,1.0
2024-05-22,1.0
2024-05-23,1.0
2024-05-24,1.0
2024-05-25,0.006943143350762626
2024-05-26,1.0
